@3; V000712; 1 5 9
@4; V00071219; 1 5 9 13
+ /11; V00040815; 1 3 +5 11
+ /4; V00040508; 1 3 4 +5
+; V000408; 1 3 +5
° /11; V00030615; 1 -3 -5 11
° /2/-13; V0002030618; 1 2 -3 -5 -13
° /2/-6; V0002030608; 1 2 -3 -5 -6
° /4; V00030506; 1 -3 4 -5
° /9/-13; V0003061218; 1 -3 -5 9 -13
° /9/-6; V0003060812; 1 -3 -5 -6 9
° ; V000306; 1 -3 -5
° 6; V00030609; 1 -3 -5 6
° 6S; V00050609; 1 4 -5 6
° 7/11; V0003060915; 1 -3 -5 --7 11
° 7/-13; V0003060918; 1 -3 -5 --7 -13
° 7/2; V0002030609; 1 2 -3 -5 --7
° 7/4; V0003050609; 1 -3 4 -5 --7
° 7/-6; V0003060809; 1 -3 -5 -6 --7
° 7/9; V0003060912; 1 -3 -5 --7 9
° 7; V00030609; 1 -3 -5 --7
° 7S; V00050609; 1 4 -5 6
° M7; V0003060B; 1 -3 -5 7
° S; V000506; 1 4 -5
11 ; V0004070A1215; 1 3 5 -7 9 11
11 +5 c ; V00020405080A; 1 2 3 4 +5 -7
11 +5; V0004080A1215; 1 3 +5 -7 9 11
11 +5+9 c ; V00030405080A; 1 +2 3 4 +5 -7
11 +5+9; V0004080A1315; 1 3 +5 -7 +9 11
11 +9 c ; V00030405070A; 1 +2 3 4 5 -7
11 +9; V0004070A1315; 1 3 5 -7 +9 11
11 -13 c ; V0002040507080A; 1 2 3 4 5 -6 -7
11 -13; V0004070A121518; 1 3 5 -7 9 11 -13
11 -5 c ; V00020405060A; 1 -2 3 4 -5 -7
11 -5; V0004060A1215; 1 3 -5 -7 -9 11
11 -5-9 c ; V00010405060A; 1 -2 3 4 -5 -7
11 -5-9; V0004060A1115; 1 3 -5 -7 -9 11
11 -9 c ; V00010405070A; 1 -2 3 4 5 -7
11 -9; V0004070A1115; 1 3 5 -7 -9 11
11 -9+9 c ; V0001030405070A; 1 -2 +2 3 4 5 -7
11 -9+9; V0004070A111315; 1 3 5 -7 -9 +9 11
11 c ; V00020405070A; 1 2 3 4 5 -7
13 ; V0004070A121519; 1 3 5 -7 9 11 13
13 +11 c ; V0002040607090A; 1 2 3 +4 5 6 -7
13 +11; V0004070A121619; 1 3 5 -7 9 +11 13
13 +9 c ; V0003040507090A; 1 +2 3 4 5 6 -7
13 +9; V0004070A131519; 1 3 5 -7 +9 11 13
13 +9+11 c ; V0003040607090A; 1 +2 3 +4 5 6 -7
13 +9+11; V0004070A131619; 1 3 5 -7 +9 +11 13
13 -5-9 c ; V0001040506090A; 1 -2 3 4 -5 6 -7
13 -5-9; V0004060A111519; 1 3 -5 -7 -9 11 13
13 -9 c ; V0001040507090A; 1 -2 3 4 5 6 -7
13 -9; V0004070A111519; 1 3 5 -7 -9 11 13
13 -9+11 c ; V0001040607090A; 1 -2 3 +4 5 6 -7
13 -9+11; V0004070A111619; 1 3 5 -7 -9 +11 13
13 -9+9+11 c ; V000103040607090A; 1 -2 +2 3 +4 5 6 -7
13 -9+9+11; V0004070A11131619; 1 3 5 -7 -9 +9 +11 13
13 c; V0002040507090A; 1 2 3 4 5 6 -7
5; V0007; 1 5
5; V0017; 1 5
6 S2; V00020709; 1 2 6
7 /+2/+4/-6; V0003040607080A; 1 +2 3 +4 5 -7
7 /+2/+4; V00030406070A; 1 +2 3 +4 5 -7
7 /+2/-6; V0003040507080A; 1 +2 3 5 -6 -7
7 /11; V0004070A15; 1 3 5 -7 11
7 /13; V00004070A19; 1 3 5 -7 13
7 /-2/+2/+4/-6; V000103040607080A; 1 -2 +2 3 5 -7
7 /-2/+2; V00010304070A; 1 -2 +2 3 5 -7
7 /-2/+4/-6; V0001040607080A; 1 -2 -3 +4 5 -6 -7
7 /-2/+4; V00010406070A; 1 -2 3 +4 5 -7
7 /-2/-6; V000407080A11; 1 -2 3 5 -6 -7
7 /-2; V000104070A; 1 -2 3 5 -7
7 /4; V000405070A; 1 3 4 5 -7
7 /6; V000407090A; 1 3 5 6 -7
7 ; V0004070A; 1 3 5 -7
7 +5/+2; V000304080A; 1 +2 3 +5 -7
7 +5/-2/+2 ; V00010304080A; 1 -2 +2 3 +5 -7
7 +5/-2/+2/+4; V0001030406080A; 1 -2 +2 3 +4 +5 -7
7 +5/-2; V000104080A; 1 -2 3 +5 -7
7 +5; V0004080A; 1 3 +5 -7
7 +5+9; V0004080A13; 1 3 +5 -7 +9
7 +5-9; V0004080A11; 1 3 +5 -7 -9
7 +5-9+9; V0004080A1113; 1 3 +5 -7 -9 +9
7 +5-9+9+11; V0004080A111316; 1 3 +5 -7 -9 +9 +11
7 +9 c ; V000304070A; 1 +2 3 5 -7
7 +9; V0004070A13; 1 3 5 -7 +9
7 +9+11; V0004070A1316; 1 3 5 -7 +9 +11
7 +9+11-13; V0004070A131618; 1 3 5 -7 +9 +11 -13
7 +9-13; V0004070A1318; 1 3 5 -7 +9 -13
7 -5/+2; V000304060A; 1 +2 3 -5 -7
7 -5/-2/+2; V00010304060A; 1 -2 +2 3 -5 -7
7 -5/-2; V000104060A; 1 -2 3 -5 -7
7 -5; V0004060A; 1 3 -5 -7
7 -5+9; V0004060A13; 1 3 -5 -7 +9
7 -5-9; V0004060A11; 1 3 -5 -7 -9
7 -5-9+9; V0004060A1113; 1 3 -5 -9 +9
7 -9 sus4 c ; V000105070A; 1 -2 4 5 -7
7 -9 sus4; V0005070A11; 1 4 5 -7 -9
7 -9; V0004070A11; 1 3 5 -7 -9
7 -9+11; V0004070A1116; 1 3 5 -7 -9 +11
7 -9+11-13; V0004070A111618; 1 3 5 -7 -9 +11 -13
7 -9+9; V0004070A1113; 1 3 5 -7 -9 +9
7 -9+9+11-13; V0004070A11131618; 1 3 5 -7 -9 +9 11
7 -9-13; V0004070A1118; 1 3 5 -7 -9 13
7 S2; V0002070A; 1 2 5 -7
7 sus4; V0005070A; 1 4 5 -7
